3,-49,-49,-49,-49,-49,-49,-48,-49,-48,-49,-48,-50,-49,-49,-49,-49,-49,-48,-49,-49,-49,-48,-48,-49,-48,-50,-49,-48,-48,-49,-48,-50,-49,-50,-49,-50,-49,-48,-49,-48,-49,-49,-50,-50,-49,-47,-47,-49,-48,-47,-47,-49,-48,-48,-47,-48,-47,-48,-48,-47,-49,-49,-49,-47,-47,-47,-49,-47,-48,-50,-47,-46,-49,-47,-48,-47,-49,-47,-49,-48,-48,-49,-48,-48,-47,-45,-49,-51,-48,-49,-48,-50,-46,-46,-47,-47,-49,-51,-48,-47,-48,-49,-49,-48,-48,-48,-47,-49,-49,-48,-50,-49,-49,-48,-50,-48,-48,-48,-47,-47,-47,-49,-47,-48,-46,-49,-46,-48,-47,-50,-48,-47,-48,-48,-46,-45,-46,-47,-50,-49,-47,-48,-50,-48,-47,-51,-49,-48,-52,-45,-54,-49,-50,-49,-48,-48,-49,-50,-51,-50,-50,-48,-48,-49,-50,-50,-49,-49,-49,-50,-48,-50,-49,-49,-50,-48,-50,-49,-51,-48,-50,-50,-50,-49,-51,-50,-50,-49,-50,-50,-49,-49,-50,-50,-49,-50,-48,-48,-50,-49,-49,-49,-49,-48,-49,-49,-49,-49,-49,-47,-49,-50,-50,-50,-49,-50,-50,-50,-49,-49,-50,-49,-50,-49,-49,-49,-50,-49,-50,-50,-50,-50,-50,-49,-50,-49,-50,-49,-47,-49,-50,-49,-49,-48,-49,-50,-50,-49,-50,-49,-49,-49,-48,-49,-48,-48,-48,-50,-48,-47,-50,-50,-49,-49,-50,-49,-50,-48,-50,-49,-50,-48,-50,-49,-48,-49,-49,-48,-48,-50,-49,-50,-49,-50,-50,-49,-50,-48,-48,-48,-49,-50,-50,-50,-50,-50,-49,-48,-49,-48,-49
2,-43,-43,-41,-42,-42,-42,-42,-43,-42,-43,-42,-42,-41,-42,-42,-43,-43,-44,-42,-43,-44,-44,-44,-44,-44,-45,-42,-44,-41,-44,-42,-44,-43,-42,-43,-43,-42,-41,-44,-45,-44,-43,-44,-43,-44,-44,-44,-43,-43,-43,-44,-42,-44,-42,-44,-42,-42,-42,-44,-44,-43,-43,-44,-44,-43,-43,-43,-42,-41,-42,-43,-42,-43,-42,-43,-41,-43,-44,-41,-41,-43,-43,-42,-40,-43,-42,-42,-41,-42,-43,-43,-42,-43,-42,-43,-43,-41,-41,-42,-42,-42,-41,-43,-41,-42,-42,-43,-42,-43,-42,-42,-43,-41,-42,-43,-42,-43,-42,-44,-42,-42,-43,-42,-42,-43,-42,-42,-43,-41,-43,-41,-44,-44,-46,-44,-44,-47,-45,-45,-45,-44,-46,-44,-44,-45,-43,-45,-46,-44,-43,-47,-46,-43,-44,-45,-44,-42,-44,-46,-44,-44,-44,-46,-45,-46,-44,-43,-45,-44,-46,-46,-44,-45,-43,-43,-43,-43,-43,-46,-46,-43,-43,-44,-44,-45,-44,-43,-44,-43,-46,-45,-43,-43,-44,-43,-44,-43,-42,-43,-44,-45,-41,-42,-43,-42,-43,-44,-41,-42,-43,-43,-41,-42,-43,-42,-43,-42,-43,-43,-43,-45,-41,-41,-43,-43,-43,-42,-43,-43,-44,-43,-43,-42,-44,-43,-41,-43,-42,-42,-42,-44,-44,-43,-43,-44,-42,-42,-43,-42,-43,-43,-43,-43,-44,-42,-43,-42,-43,-43,-43,-42,-43,-43,-42,-43,-43,-42,-43,-44,-43,-43,-43,-42,-44,-44,-43,-43,-42,-44,-43,-42,-43,-43,-44,-43,-43,-44,-42,-42,-43,-41,-42,-42,-43,-42,-43,-43,-42,-41,-42,-42
3,-51,-51,-51,-51,-52,-50,-52,-51,-51,-51,-52,-51,-52,-52,-52,-52,-52,-51,-52,-52,-52,-52,-53,-53,-52,-51,-53,-53,-53,-53,-51,-53,-52,-51,-52,-52,-52,-52,-53,-51,-52,-52,-52,-52,-53,-53,-52,-52,-53,-53,-53,-52,-53,-52,-53,-52,-51,-52,-52,-51,-53,-52,-51,-51,-51,-52,-50,-52,-51,-52,-51,-52,-51,-50,-52,-51,-51,-51,-52,-52,-50,-51,-50,-51,-51,-51,-52,-51,-52,-51,-51,-51,-50,-50,-50,-51,-51,-50,-52,-51,-52,-51,-51,-51,-52,-51,-51,-51,-51,-51,-51,-50,-52,-50,-51,-51,-52,-52,-51,-51,-52,-51,-51,-52,-51,-51,-51,-52,-52,-51,-51,-52,-51,-51,-52,-52,-52,-52,-53,-51,-50,-51,-51,-51,-52,-52,-50,-52,-50,-51,-54,-52,-52,-53,-52,-51,-51,-53,-52,-52,-52,-51,-53,-52,-51,-51,-52,-53,-52,-51,-52,-52,-53,-53,-54,-52,-51,-52,-52,-52,-52,-53,-52,-52,-53,-52,-51,-52,-51,-53,-52,-52,-52,-52,-51,-51,-53,-53,-51,-52,-52,-53,-54,-52,-52,-52,-53,-53,-52,-53,-52,-53,-52,-52,-53,-52,-54,-52,-52,-52,-51,-52,-52,-52,-51,-50,-51,-50,-51,-52,-51,-51,-51,-50,-51,-51,-51,-51,-50,-50,-51,-53,-53,-53,-53,-53,-51,-52,-52,-53,-51,-53,-53,-53,-53,-53,-53,-53,-53,-52,-53,-52,-52,-52,-52,-52,-53,-53,-53,-51,-53,-50,-52,-52,-52,-52,-52,-51,-51,-52,-51,-51,-52,-51,-52,-52,-52,-52,-52,-52,-53,-53,-52,-52,-52,-53,-52,-53,-53,-53,-53
1,-43,-42,-43,-43,-43,-42,-43,-44,-43,-43,-42,-44,-42,-43,-43,-42,-43,-43,-43,-43,-42,-43,-43,-43,-43,-44,-43,-44,-42,-44,-42,-43,-43,-43,-42,-43,-42,-43,-43,-42,-43,-43,-42,-43,-42,-42,-42,-43,-42,-43,-44,-42,-43,-43,-42,-43,-44,-44,-41,-43,-41,-43,-43,-43,-44,-42,-43,-43,-42,-43,-43,-43,-43,-42,-43,-42,-42,-43,-42,-42,-44,-43,-43,-44,-44,-43,-44,-42,-43,-42,-42,-43,-43,-42,-42,-43,-43,-42,-44,-42,-42,-43,-44,-44,-43,-42,-44,-42,-41,-43,-43,-43,-42,-43,-44,-43,-44,-43,-44,-42,-42,-43,-44,-43,-43,-43,-43,-44,-43,-45,-42,-42,-44,-44,-44,-43,-45,-45,-45,-45,-46,-46,-45,-45,-45,-44,-45,-44,-45,-45,-47,-44,-44,-45,-46,-45,-44,-42,-46,-46,-44,-44,-45,-46,-44,-44,-44,-46,-46,-46,-45,-44,-44,-43,-45,-44,-43,-43,-43,-42,-43,-44,-44,-44,-43,-44,-44,-42,-42,-43,-44,-42,-44,-42,-44,-43,-41,-44,-44,-43,-42,-43,-42,-44,-44,-44,-42,-43,-44,-43,-43,-42,-44,-44,-44,-44,-43,-43,-43,-43,-43,-43,-43,-42,-42,-42,-43,-43,-42,-42,-41,-42,-43,-44,-42,-44,-43,-43,-44,-43,-45,-44,-43,-44,-45,-43,-43,-45,-44,-44,-42,-42,-42,-44,-42,-44,-42,-42,-42,-43,-44,-44,-44,-43,-43,-44,-42,-44,-44,-44,-43,-42,-43,-43,-43,-44,-44,-44,-43,-42,-43,-44,-43,-44,-42,-42,-41,-44,-45,-43,-45,-43,-44,-44,-44,-43,-43,-41,-45,-44,-45
3,-47,-48,-47,-48,-49,-48,-47,-48,-48,-48,-48,-47,-47,-47,-47,-47,-47,-48,-48,-48,-47,-49,-48,-47,-48,-49,-47,-48,-49,-48,-48,-49,-48,-47,-48,-48,-48,-48,-48,-50,-47,-48,-47,-48,-50,-47,-48,-48,-48,-48,-48,-48,-49,-47,-47,-48,-48,-50,-48,-49,-50,-49,-48,-48,-50,-52,-50,-49,-49,-49,-52,-54,-53,-52,-52,-51,-51,-51,-51,-50,-50,-52,-52,-50,-50,-51,-52,-50,-51,-51,-48,-50,-48,-51,-50,-47,-49,-51,-48,-46,-47,-47,-48,-49,-51,-50,-47,-48,-47,-50,-50,-49,-51,-51,-48,-49,-47,-47,-46,-46,-49,-47,-47,-46,-48,-48,-48,-48,-49,-46,-49,-50,-49,-49,-49,-52,-47,-52,-49,-50,-51,-47,-50,-46,-48,-52,-53,-55,-48,-46,-58,-48,-54,-46,-53,-50,-49,-49,-51,-51,-52,-51,-53,-51,-52,-49,-50,-49,-49,-50,-51,-50,-50,-50,-51,-49,-49,-50,-50,-50,-51,-50,-51,-50,-50,-50,-50,-51,-50,-50,-50,-50,-49,-50,-50,-49,-49,-51,-50,-49,-49,-49,-49,-50,-50,-50,-50,-50,-52,-50,-50,-49,-50,-50,-49,-49,-49,-50,-50,-49,-49,-50,-49,-50,-50,-49,-49,-49,-50,-49,-49,-48,-49,-50,-50,-49,-49,-50,-50,-50,-50,-49,-49,-50,-49,-50,-49,-50,-50,-49,-49,-49,-49,-49,-49,-50,-49,-50,-49,-50,-50,-49,-50,-50,-50,-50,-50,-51,-49,-50,-49,-49,-50,-50,-48,-49,-48,-50,-50,-49,-48,-48,-49,-49,-50,-50,-49,-50,-49,-50,-49,-50,-50,-49,-50,-51,-49,-48,-49,-49,-49
3,-45,-44,-42,-44,-44,-44,-44,-43,-43,-43,-43,-44,-43,-45,-44,-43,-43,-44,-45,-43,-43,-45,-44,-45,-44,-43,-44,-45,-44,-45,-43,-44,-44,-44,-44,-43,-44,-43,-42,-44,-45,-45,-45,-43,-42,-43,-44,-43,-44,-43,-44,-44,-44,-44,-44,-43,-45,-44,-45,-44,-43,-44,-44,-44,-44,-44,-44,-45,-43,-43,-44,-44,-44,-45,-44,-44,-43,-45,-44,-44,-44,-44,-45,-44,-44,-45,-43,-44,-43,-45,-43,-43,-44,-43,-43,-44,-43,-45,-44,-44,-44,-44,-44,-43,-44,-45,-44,-43,-44,-46,-43,-44,-44,-43,-46,-45,-44,-42,-42,-43,-43,-46,-43,-44,-45,-48,-44,-44,-43,-42,-44,-44,-43,-44,-44,-43,-44,-45,-43,-42,-44,-44,-44,-45,-43,-43,-46,-45,-46,-46,-49,-48,-47,-45,-44,-43,-43,-44,-46,-48,-45,-43,-43,-46,-46,-43,-46,-45,-46,-44,-44,-44,-44,-43,-45,-44,-45,-45,-42,-44,-45,-44,-43,-44,-44,-45,-45,-45,-44,-44,-44,-44,-45,-43,-45,-45,-45,-45,-45,-45,-43,-44,-45,-45,-44,-45,-45,-45,-45,-45,-43,-45,-45,-45,-44,-45,-45,-44,-44,-45,-45,-44,-45,-45,-45,-45,-43,-45,-45,-44,-44,-45,-45,-45,-44,-45,-45,-44,-45,-45,-46,-44,-44,-45,-45,-44,-44,-44,-44,-45,-44,-45,-45,-45,-43,-44,-44,-45,-42,-44,-44,-45,-44,-44,-44,-45,-45,-43,-45,-44,-44,-45,-45,-45,-43,-44,-45,-45,-45,-44,-44,-45,-44,-43,-45,-44,-43,-45,-44,-44,-45,-45,-45,-44,-43,-44,-45,-43,-44,-45,-45
1,-44,-42,-43,-44,-43,-41,-43,-44,-43,-43,-43,-42,-42,-43,-42,-43,-44,-45,-44,-44,-43,-44,-42,-42,-41,-41,-42,-42,-42,-43,-40,-42,-42,-42,-41,-41,-41,-41,-41,-42,-44,-43,-43,-40,-40,-41,-42,-43,-44,-44,-42,-43,-43,-45,-42,-42,-43,-45,-45,-43,-41,-43,-45,-43,-42,-43,-45,-45,-43,-43,-43,-43,-44,-44,-46,-44,-45,-43,-44,-44,-43,-43,-43,-44,-43,-44,-43,-44,-42,-44,-44,-43,-43,-44,-43,-43,-44,-44,-43,-43,-44,-45,-44,-43,-43,-43,-44,-43,-44,-45,-43,-43,-41,-44,-43,-44,-43,-42,-42,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-42,-43,-43,-43,-42,-44,-43,-44,-44,-45,-46,-46,-44,-45,-44,-45,-46,-46,-44,-46,-47,-47,-45,-45,-44,-44,-46,-45,-45,-44,-43,-43,-43,-45,-46,-44,-43,-44,-44,-42,-43,-43,-44,-44,-43,-43,-44,-44,-44,-44,-43,-41,-43,-44,-45,-44,-43,-42,-43,-42,-43,-44,-44,-41,-45,-43,-43,-43,-42,-43,-44,-45,-43,-43,-43,-44,-43,-43,-44,-42,-44,-44,-44,-42,-43,-44,-45,-44,-43,-44,-44,-43,-44,-44,-43,-43,-43,-43,-43,-43,-43,-44,-44,-44,-44,-42,-42,-44,-44,-42,-43,-45,-42,-42,-43,-44,-43,-43,-44,-43,-43,-43,-42,-44,-44,-45,-44,-45,-44,-46,-45,-45,-45,-46,-45,-44,-45,-44,-45,-44,-43,-44,-45,-45,-45,-43,-45,-44,-45,-46,-45,-45,-45,-46,-46,-44,-45,-45,-45,-44,-45,-45,-45,-45,-46,-44,-45,-44,-44,-45,-43,-45
1,-44,-43,-42,-41,-42,-42,-42,-43,-42,-42,-43,-44,-42,-43,-42,-41,-42,-42,-41,-42,-41,-42,-44,-41,-44,-44,-44,-42,-42,-42,-43,-44,-41,-44,-43,-42,-42,-43,-43,-43,-41,-42,-41,-42,-43,-41,-43,-44,-42,-41,-41,-40,-42,-43,-41,-42,-40,-41,-42,-41,-43,-42,-43,-43,-43,-43,-44,-43,-45,-44,-44,-44,-43,-44,-43,-43,-44,-42,-43,-42,-44,-45,-44,-43,-43,-45,-42,-44,-42,-43,-42,-42,-43,-42,-43,-42,-43,-42,-43,-42,-42,-42,-43,-43,-42,-43,-42,-42,-42,-41,-43,-43,-42,-43,-42,-43,-45,-45,-45,-43,-42,-45,-45,-46,-46,-46,-47,-45,-45,-43,-43,-43,-43,-45,-46,-47,-45,-47,-43,-44,-45,-45,-45,-46,-46,-44,-45,-45,-46,-44,-47,-45,-43,-44,-44,-45,-45,-46,-44,-45,-44,-44,-45,-44,-46,-44,-43,-43,-44,-43,-44,-43,-43,-44,-44,-42,-43,-45,-43,-43,-45,-42,-43,-43,-44,-45,-43,-44,-44,-43,-44,-42,-43,-45,-43,-43,-43,-43,-43,-43,-42,-42,-44,-44,-44,-44,-43,-43,-42,-42,-42,-43,-44,-44,-44,-45,-44,-44,-43,-44,-42,-43,-43,-44,-44,-44,-43,-43,-44,-44,-44,-42,-42,-42,-43,-41,-41,-42,-41,-41,-43,-40,-41,-41,-41,-42,-42,-41,-41,-42,-43,-42,-43,-42,-43,-41,-41,-41,-42,-41,-41,-43,-41,-42,-41,-42,-42,-43,-42,-42,-42,-42,-44,-42,-42,-41,-41,-43,-42,-41,-42,-41,-42,-42,-42,-42,-41,-42,-42,-42,-43,-42,-42,-41,-41,-42,-42,-43,-43,-42,-43
2,-44,-43,-44,-43,-43,-45,-45,-43,-43,-43,-44,-43,-44,-44,-42,-43,-43,-44,-44,-43,-44,-43,-44,-43,-43,-43,-44,-44,-42,-43,-44,-44,-44,-44,-44,-44,-45,-43,-44,-43,-44,-43,-44,-43,-43,-43,-42,-43,-43,-43,-43,-43,-44,-43,-42,-44,-44,-44,-42,-43,-44,-43,-44,-43,-44,-43,-43,-43,-43,-43,-44,-43,-43,-42,-44,-42,-43,-43,-43,-43,-42,-43,-43,-44,-44,-44,-43,-42,-44,-42,-44,-43,-43,-44,-43,-44,-43,-43,-43,-43,-45,-43,-42,-44,-43,-43,-44,-41,-43,-45,-43,-44,-43,-42,-42,-44,-43,-43,-45,-44,-42,-43,-43,-43,-43,-43,-44,-44,-44,-43,-42,-43,-44,-43,-45,-45,-43,-44,-43,-42,-42,-47,-44,-40,-42,-47,-45,-42,-43,-46,-47,-43,-43,-41,-44,-45,-44,-43,-41,-42,-44,-44,-43,-43,-44,-44,-44,-43,-40,-40,-41,-42,-45,-45,-44,-42,-43,-42,-45,-44,-43,-42,-44,-44,-44,-44,-46,-45,-44,-44,-43,-44,-43,-43,-43,-44,-44,-44,-41,-43,-43,-45,-43,-43,-43,-43,-43,-43,-43,-43,-42,-43,-45,-44,-43,-44,-42,-41,-44,-44,-42,-44,-45,-43,-44,-43,-43,-42,-43,-44,-43,-42,-43,-43,-42,-44,-44,-42,-43,-44,-43,-44,-42,-44,-43,-44,-43,-45,-44,-42,-44,-44,-45,-44,-43,-44,-43,-44,-43,-42,-43,-44,-43,-42,-43,-43,-44,-43,-43,-43,-44,-44,-44,-42,-42,-42,-42,-44,-43,-44,-44,-44,-42,-42,-42,-44,-43,-42,-43,-45,-44,-44,-43,-43,-43,-44,-42,-44,-43,-44,-43
3,-50,-49,-49,-50,-49,-50,-49,-50,-50,-49,-49,-49,-49,-49,-49,-50,-49,-50,-49,-50,-50,-49,-50,-50,-50,-50,-50,-51,-49,-50,-49,-49,-50,-50,-48,-49,-48,-50,-50,-49,-48,-48,-49,-49,-50,-50,-49,-50,-49,-50,-49,-50,-50,-49,-50,-51,-49,-48,-49,-49,-49,-50,-50,-48,-50,-49,-50,-48,-47,-50,-50,-49,-49,-51,-49,-50,-48,-50,-51,-49,-51,-51,-50,-49,-49,-51,-50,-50,-51,-51,-49,-49,-49,-48,-49,-50,-50,-50,-50,-51,-50,-51,-51,-52,-51,-49,-50,-51,-49,-49,-50,-51,-51,-51,-52,-52,-51,-51,-49,-49,-48,-50,-51,-50,-50,-51,-49,-50,-50,-50,-51,-50,-51,-50,-50,-53,-49,-51,-50,-53,-49,-51,-48,-51,-50,-48,-53,-45,-44,-52,-57,-50,-49,-53,-56,-50,-50,-47,-47,-48,-48,-47,-48,-50,-50,-50,-49,-46,-51,-47,-48,-51,-49,-50,-49,-48,-51,-49,-49,-49,-50,-50,-47,-47,-50,-48,-50,-47,-51,-50,-47,-50,-52,-49,-47,-49,-52,-51,-51,-52,-50,-50,-50,-50,-50,-49,-47,-50,-49,-48,-47,-49,-51,-48,-54,-50,-54,-47,-47,-47,-56,-50,-48,-52,-51,-50,-51,-49,-50,-52,-49,-50,-49,-49,-51,-50,-48,-50,-50,-50,-48,-50,-49,-48,-50,-50,-49,-51,-51,-49,-48,-48,-50,-52,-50,-49,-49,-49,-47,-48,-48,-49,-51,-50,-51,-52,-50,-50,-50,-49,-49,-49,-49,-49,-50,-49,-48,-49,-48,-49,-50,-49,-50,-50,-49,-49,-50,-50,-49,-50,-50,-51,-50,-51,-50,-50,-50,-49,-48,-49,-50
